n_ws^third_max_value,ShearModulus_max_value,Group_composition_average,Column_composition_average,GSenergy_pa_composition_average,AtomicVolume_difference,ThirdIonizationEnergy_min_value,NsUnfilled_arithmetic_average,SecondIonizationEnergy_min_value,AtomicVolume_min_value,BCCenergy_pa_composition_average,ICSDVolume_min_value,NdValence_composition_average,valence_max_value,NsValence_arithmetic_average,valence_difference,Electronegativity_composition_average,IsBoron_difference,IsBoron_composition_average,IsBoron_arithmetic_average,valence_composition_average,NpUnfilled_difference,ShearModulus_difference,IsBoron_max_value,NValance_difference
1.64,38.0,12.8,12.8,-5.0072435825,18575.60274197189,19.174,0.4,11.059,16.5944245175099,-3.6017862010000004,16.6,1.5,5.0,1.6,3.0,2.688,1.0,0.1,0.2,2.5,3.0,24.0,1.0,8.0
1.64,38.0,12.8,12.8,-4.93392680075,18575.12151853951,19.174,0.4,11.059,17.0756479498908,-3.534606564,17.0,2.5,5.0,1.6,3.0,2.708,1.0,0.1,0.2,2.5,3.0,24.0,1.0,10.0
1.64,38.0,12.8,12.8,-4.8993814665,18575.12151853951,19.174,0.4,11.059,17.0756479498908,-3.5021580000000005,17.0,2.5,5.0,1.6,3.0,2.705,1.0,0.1,0.2,2.5,3.0,24.0,1.0,10.0
1.64,44.0,11.8,11.8,-5.071696595000001,18575.12151853951,25.04,0.4,13.58,17.0756479498908,-3.67467493,17.0,1.6,5.0,1.6,3.0,2.702,0.0,0.0,0.0,2.5,0.0,27.0,0.0,9.0
1.64,44.0,13.0,13.0,-5.313574073,18575.12151853951,25.04,0.4,13.58,17.0756479498908,-3.912800391,17.0,2.6,5.0,1.6,3.0,2.767,0.0,0.0,0.0,2.7,2.0,26.0,0.0,10.0
1.64,38.0,12.8,12.8,-5.1609489415,18575.60274197189,20.52,0.4,12.24,16.5944245175099,-3.756229501,16.6,1.5,5.0,1.6,3.0,2.7,1.0,0.1,0.2,2.5,3.0,12.0,1.0,8.0
1.64,69.0,12.8,12.8,-5.601625962,18575.12151853951,25.04,0.5,14.32,17.0756479498908,-4.214318907,17.0,2.7,5.0,1.5,3.0,2.76,0.0,0.0,0.0,2.6,0.0,39.0,0.0,14.0
1.63,69.0,12.8,12.8,-4.904211388,18575.12151853951,30.502,0.2,10.004,17.0756479498908,-3.514833607,17.0,2.3,5.0,1.7999999999999998,3.0,2.692,0.0,0.0,0.0,2.5,2.0,64.1,0.0,17.0
1.63,69.0,11.8,11.8,-5.2856293910000005,18575.12151853951,27.491,0.2,10.004,17.0756479498908,-3.891467874,17.0,1.5,5.0,1.7999999999999998,3.0,2.65,0.0,0.0,0.0,2.5,0.0,64.1,0.0,17.0
1.63,69.0,12.8,12.8,-4.972191364,18575.12151853951,34.22,0.2,11.871,17.0756479498908,-3.553551247,17.0,2.3,5.0,1.7999999999999998,3.0,2.708,0.0,0.0,0.0,2.5,2.0,61.6,0.0,17.0
1.63,69.0,12.8,12.8,-5.05307921,18575.12151853951,33.492,0.2,11.871,17.0756479498908,-3.615915797,17.0,1.3,5.0,1.7999999999999998,3.0,2.697,0.0,0.0,0.0,2.5,2.0,61.6,0.0,17.0
